center,bldg,floor,time,raw,norm
Briscoe,Shoemaker,Floor 08,09:00:00,4,-0.654288325
Briscoe,Shoemaker,Floor 08,09:30:00,4,-0.654288325
Briscoe,Shoemaker,Floor 08,10:00:00,4,-0.654288325
Briscoe,Shoemaker,Floor 08,10:30:00,6,-0.388041128
Briscoe,Shoemaker,Floor 08,11:00:00,4,-0.654288325
Briscoe,Shoemaker,Floor 08,11:30:00,8,-0.121793931
Briscoe,Shoemaker,Floor 08,12:00:00,13,0.543824063
Briscoe,Shoemaker,Floor 08,12:30:00,10,0.144453267
Briscoe,Shoemaker,Floor 08,13:00:00,10,0.144453267
Briscoe,Shoemaker,Floor 08,13:30:00,17,1.076318457
Briscoe,Shoemaker,Floor 08,14:00:00,16,0.943194859
Briscoe,Shoemaker,Floor 08,14:30:00,15,0.81007126
Briscoe,Shoemaker,Floor 08,15:00:00,24,2.008183648
Briscoe,Shoemaker,Floor 08,15:30:00,22,1.741936451
Briscoe,Shoemaker,Floor 08,16:00:00,22,1.741936451
Briscoe,Shoemaker,Floor 08,16:30:00,20,1.475689253
Briscoe,Shoemaker,Floor 08,17:00:00,22,1.741936451
Briscoe,Shoemaker,Floor 08,17:30:00,13,0.543824063
Briscoe,Shoemaker,Floor 08,18:00:00,13,0.543824063
Briscoe,Shoemaker,Floor 08,18:30:00,15,0.81007126
Briscoe,Shoemaker,Floor 08,19:00:00,18,1.209442056
Briscoe,Shoemaker,Floor 08,19:30:00,17,1.076318457
Briscoe,Shoemaker,Floor 08,20:00:00,17,1.076318457
Briscoe,Shoemaker,Floor 08,20:30:00,14,0.676947661
Briscoe,Shoemaker,Floor 08,21:00:00,17,1.076318457
Briscoe,Shoemaker,Floor 08,21:30:00,10,0.144453267
Briscoe,Shoemaker,Floor 08,22:00:00,14,0.676947661
Briscoe,Shoemaker,Floor 08,22:30:00,13,0.543824063
Briscoe,Shoemaker,Floor 08,23:00:00,9,0.011329668
Briscoe,Shoemaker,Floor 08,23:30:00,6,-0.388041128
Briscoe,Shoemaker,Floor 09,00:00:00,4,-0.583470974
Briscoe,Shoemaker,Floor 09,00:30:00,3,-0.72856693
Briscoe,Shoemaker,Floor 09,01:00:00,3,-0.72856693
Briscoe,Shoemaker,Floor 09,01:30:00,4,-0.583470974
Briscoe,Shoemaker,Floor 09,02:00:00,4,-0.583470974
Briscoe,Shoemaker,Floor 09,02:30:00,2,-0.873662887
Briscoe,Shoemaker,Floor 09,03:00:00,1,-1.018758843
Briscoe,Shoemaker,Floor 09,03:30:00,0,-1.1638548
Briscoe,Shoemaker,Floor 09,04:00:00,NaN,NaN
Briscoe,Shoemaker,Floor 09,04:30:00,0,-1.1638548
Briscoe,Shoemaker,Floor 09,05:00:00,0,-1.1638548
Briscoe,Shoemaker,Floor 09,05:30:00,0,-1.1638548
Briscoe,Shoemaker,Floor 09,06:00:00,0,-1.1638548
Briscoe,Shoemaker,Floor 09,06:30:00,0,-1.1638548
Briscoe,Shoemaker,Floor 09,07:00:00,0,-1.1638548
Briscoe,Shoemaker,Floor 09,07:30:00,0,-1.1638548
Briscoe,Shoemaker,Floor 09,08:00:00,0,-1.1638548
Briscoe,Shoemaker,Floor 09,08:30:00,2,-0.873662887
Briscoe,Shoemaker,Floor 09,09:00:00,3,-0.72856693
Briscoe,Shoemaker,Floor 09,09:30:00,4,-0.583470974
Briscoe,Shoemaker,Floor 09,10:00:00,3,-0.72856693
Briscoe,Shoemaker,Floor 09,10:30:00,5,-0.438375017
Briscoe,Shoemaker,Floor 09,11:00:00,4,-0.583470974
Briscoe,Shoemaker,Floor 09,11:30:00,6,-0.293279061
Briscoe,Shoemaker,Floor 09,12:00:00,6,-0.293279061
Briscoe,Shoemaker,Floor 09,12:30:00,10,0.287104765
Briscoe,Shoemaker,Floor 09,13:00:00,13,0.722392634
Briscoe,Shoemaker,Floor 09,13:30:00,14,0.867488591
Briscoe,Shoemaker,Floor 09,14:00:00,15,1.012584547
Briscoe,Shoemaker,Floor 09,14:30:00,15,1.012584547
